0.2743	0.3686	0.1332	0.1226	0.1055
0.31				
	0.3312			
		0.1292		
			0.1301	
				0.1546
0.205	0.3231			
0.1817		0.1409		
0.2027			0.1489	
0.1987				0.1632
	0.3301	0.1436		
	0.369		0.1193	
	0.2957			0.1147
		0.1374	0.2015	
		0.1417		0.1335
			0.1169	0.09082
0.1858	0.3	0.1508		
0.1746	0.29		0.136	
0.1861	0.3125			0.1447
0.1747		0.1463	0.138	
0.1761		0.1419		0.1487
0.2203			0.1405	0.1327
	0.2877	0.1477	0.1194	
	0.2945	0.1355		0.1336
	0.3327		0.1304	0.117
		0.1389	0.1308	0.08225
0.1817	0.3305	0.1483	0.1403	
0.2076	0.2839	0.1407		0.1297
0.1978	0.325		0.1224	0.1426
0.1918		0.1473	0.1254	0.1273
	0.2917	0.1364	0.1453	0.1167
0.1679	0.2935	0.1424	0.1382	0.1588
