0.1382	0.2976	0.1076	0.1049	0.08494
0.1161				
	0.251			
		0.1064		
			0.1146	
				0.06381
0.1393	0.2803			
0.106		0.1165		
0.1106			0.1201	
0.12				0.09113
	0.2698	0.1167		
	0.2353		0.121	
	0.2553			0.07665
		0.1104	0.1025	
		0.05105		0.06689
			0.1037	0.05894
0.1043	0.2156	0.1129		
0.12	0.2291		0.109	
0.1152	0.254			0.07784
0.1036		0.1159	0.1026	
0.1042		0.1136		0.07406
0.1323			0.1103	0.1056
	0.2612	0.1234	0.1223	
	0.2598	0.1128		0.08608
	0.2707		0.1227	0.08296
		0.1137	0.106	0.05829
0.1271	0.2776	0.1198	0.1114	
0.1156	0.2261	0.118		0.08015
0.127	0.2431		0.1188	0.09166
0.1281		0.12	0.1201	0.08645
	0.2284	0.1137	0.1232	0.06132
0.1205	0.2335	0.1195	0.1079	0.08176
