0.04071	0.1162	0.1467	0.4029	0.3683
0.02443				
	0.1169			
		0.1467		
			0.3616	
				0.3546
0.02686	0.1243			
0.05888		0.1499		
0.0306			0.3822	
0.02853				0.3721
	0.128		0.4582	
	0.1228			0.3647
		0.1445	0.4461	
		0.1561		0.3718
			0.3969	0.3626
0.02406	0.1325	0.1436		
0.0403	0.1375		0.4596	
0.02199	0.1266			0.3714
0.03172		0.1536	0.3826	
0.02113		0.1462		0.3601
0.0439			0.3882	0.3986
	0.1523	0.153	0.3977	
	0.1351	0.1609		0.3488
	0.1285		0.3601	0.3656
		0.1845	0.4258	0.358
0.06426	0.1879	0.1513	0.4761	
0.03202	0.123	0.1469		0.3503
0.03829	0.1475		0.3577	0.3871
0.04181		0.1703	0.4108	0.3707
	0.133	0.185	0.3952	0.3782
0.03864	0.1317	0.1904	0.3904	0.3438
