0.5486	0.7536	0.283	0.3626	0.2584
0.7037				
	0.6657			
		0.3013		
			0.3638	
				0.3334
0.4631	0.6891			
0.3943		0.3125		
0.4461			0.3839	
0.506				0.5879
	0.6966	0.2986		
	0.7747		0.2827	
	0.6628			0.3768
		0.2944	0.426	
		0.3042		0.5029
			0.3512	0.23202
0.3958	0.6373	0.3174		
0.4043	0.6213		0.4	
0.4365	0.6707			0.4768
0.3811		0.3186	0.3787	
0.3933		0.3179		0.4946
0.4584			0.3773	0.4799
	0.6179	0.3116	0.3427	
	0.6174	0.2886		0.4987
	0.6654		0.3759	0.4585
		0.2936	0.3811	0.18865
0.4158	0.668	0.3237	0.339	
0.4186	0.6024	0.3114		0.3044
0.4272	0.6745		0.2683	0.483
0.4065		0.3118	0.305	0.4651
	0.618	0.2949	0.3781	0.4583
0.3998	0.6593	0.3151	0.3778	0.5073
