0.127	0.3419	0.1507	0.1446	0.1389
0.1315				
	0.359			
		0.1335		
			0.1376	
				0.1121
0.1396	0.3132			
0.1281		0.1568		
0.1872			0.1388	
0.143				0.1621
	0.2961	0.149		
	0.3393		0.1438	
	0.4161			0.1229
		0.1409	0.1258	
		0.148		0.1608
			0.1184	0.1201
0.1306	0.3168	0.1709		
0.1354	0.3616		0.1752	
0.1701	0.3707			0.1547
0.2377		0.1743	0.1449	
0.1685		0.1831		0.2913
0.18			0.1289	0.1294
	0.3292	0.1547	0.1518	
	0.3224	0.164		0.1675
	0.3821		0.1428	0.1272
		0.15	0.1546	0.1308
0.1329	0.3415	0.164	0.1676	
0.1733	0.4203	0.204		0.1679
0.1322	0.3616		0.1343	0.112
0.1211		0.1522	0.1944	0.127
	0.3158	0.1564	0.1405	0.1325
0.1306	0.3591	0.1565	0.1624	0.148
